,overlap_proportion,Condition,Time (min)
188,0.2421314248925753,ADC,180
189,0.0863781280831049,ADC,180
190,0.1869629569200109,ADC,180
191,0.1378631661713832,ADC,180
192,0.2722470138753376,ADC,210
193,0.197088272340277,ADC,210
194,0.2447732668964648,ADC,210
195,0.0166630232139255,ADC,210
196,0.1703495391538796,ADC,210
197,0.0898094439474756,ADC,210
198,0.1983626409120635,ADC,210
199,0.0,ADC,210
200,0.293465449444245,ADC,210
201,0.1843810756162405,ADC,210
202,0.0206126407129825,ADC,210
203,0.1484429611393415,ADC,210
204,0.240892280963223,ADC,240
205,0.1965340790540969,ADC,240
206,0.3023821565427775,ADC,240
207,0.2323695635668203,ADC,240
208,0.3468214900661632,ADC,240
209,0.0,ADC,240
210,0.2848058483046346,ADC,240
211,0.2594531835924744,ADC,240
212,0.1982144202308116,ADC,240
213,0.2619117157625196,ADC,240
214,0.2367477631522618,ADC,240
215,0.2028086554765817,ADC,240
216,0.1505686186066933,ADC,270
217,0.3694265894776786,ADC,270
218,0.0069786808794137,ADC,270
219,0.213499522943583,ADC,270
220,0.2600089863858535,ADC,270
221,0.2616845706518801,ADC,270
222,0.2817203664061144,ADC,270
223,0.2197073699209251,ADC,270
224,0.0,ADC,270
225,0.3562954843644495,ADC,270
226,0.29268067317615,ADC,270
227,0.2859524909805277,ADC,270
228,0.3004691662078709,ADC,300
229,0.249174902909589,ADC,300
230,0.2250609317583587,ADC,300
231,0.0004922471080482,ADC,300
232,0.4626141126511588,ADC,300
233,0.0221797976090362,ADC,300
234,0.2899263965647435,ADC,300
235,0.2152345271703321,ADC,300
236,0.4193923656860792,ADC,300
237,0.2855308839962808,ADC,300
238,0.2923815606428285,ADC,300
239,0.1337466146743011,ADC,300
240,0.0410390867802648,Ab1,30
241,0.0391772092556191,Ab1,30
242,0.0334533975930779,Ab1,30
243,0.0370266764413528,Ab1,30
244,0.0275917909750552,Ab1,30
245,0.2107911219675639,Ab1,30
246,0.0441240816360467,Ab1,30
247,0.0534724072654532,Ab1,30
248,0.0470622365150307,Ab1,60
249,0.0667117355463581,Ab1,60
250,0.0801485058549329,Ab1,60
251,0.0588564483470197,Ab1,60
252,0.0724225955306246,Ab1,60
253,0.0866867137887966,Ab1,60
254,0.069466675528765,Ab1,60
255,0.0946653295735388,Ab1,60
256,0.0832459074161483,Ab1,90
257,0.1064212454976685,Ab1,90
258,0.0804737196148793,Ab1,90
259,0.123940291597719,Ab1,90
260,0.0880474947989686,Ab1,90
261,0.0958454498833804,Ab1,90
262,0.097329504998342,Ab1,90
263,0.1171105766227841,Ab1,90
264,0.0548399530064357,Ab1,120
265,0.0662725239031383,Ab1,120
266,0.046467333288308,Ab1,120
267,0.0623784317302112,Ab1,120
268,0.0965547772224866,Ab1,120
269,0.1335179263773034,Ab1,120
270,0.0919939088937723,Ab1,120
271,0.1248587316985573,Ab1,120
272,0.0665405185812774,Ab1,150
273,0.2116268791091365,Ab1,150
274,0.1069532582782952,Ab1,150
275,0.1271843740229211,Ab1,150
276,0.1036264037090072,Ab1,150
277,0.0976427924474588,Ab1,150
